Date,Group,Sap_Flow,TWaterFlux,pLWP,mLWP
12/8/19,Drought-sensitive understory,0.620205384,0.267278027,-1.305709427,-1.298705863
12/8/19,Drought-tolerant canopy,6.540394135,3.40549072,-0.595222106,-0.83941583
12/8/19,Drought-tolerant understory,2.677359483,0.97694727,-0.604818594,-0.687630312
12/9/19,Drought-sensitive canopy,41.82431611,12.37773758,-0.790573372,-1.383950619
12/9/19,Drought-sensitive understory,0.724524108,0.165896706,-1.105855199,-1.163799806
12/9/19,Drought-tolerant canopy,6.695156867,3.064480824,-0.578622013,-0.878726271
12/9/19,Drought-tolerant understory,2.796997008,0.953906061,-0.576054422,-0.69682547
12/10/19,Drought-sensitive canopy,43.43987533,22.10112787,-0.728746356,-1.376986662
12/10/19,Drought-sensitive understory,0.825979456,0.147463739,-0.873906706,-1.027390671
12/10/19,Drought-tolerant canopy,6.848948018,3.05526434,-0.55933281,-0.915915452
12/10/19,Drought-tolerant understory,2.914253675,1.345606617,-0.546326531,-0.71695777
12/11/19,Drought-sensitive canopy,45.03212525,18.85692561,-0.674020084,-1.369402315
12/11/19,Drought-sensitive understory,0.924654778,0.110597804,-0.653814383,-0.907563978
12/11/19,Drought-tolerant canopy,7.002118458,3.133604452,-0.540359905,-0.945841162
12/11/19,Drought-tolerant understory,3.029290506,1.382472552,-0.517998866,-0.738312793
12/12/19,Drought-sensitive canopy,46.60182104,23.59419822,-0.634927114,-1.354771132
12/12/19,Drought-sensitive understory,1.020633426,0.35022638,-0.489528669,-0.822405248
12/12/19,Drought-tolerant canopy,7.155019059,3.672768747,-0.524708704,-0.963361192
12/12/19,Drought-tolerant understory,3.142268522,1.133627493,-0.493435374,-0.75117612
12/13/19,Drought-sensitive canopy,48.14971787,27.12871972,-0.62,-1.326666667
12/13/19,Drought-sensitive understory,1.11399875,0.824875289,-0.425,-0.79
12/13/19,Drought-tolerant canopy,7.308000692,3.101346759,-0.515384615,-0.963333333
12/13/19,Drought-tolerant understory,3.253348745,1.622101128,-0.475,-0.745833333
12/14/19,Drought-sensitive canopy,49.67657091,25.15178397,-0.612292101,-1.287231068
12/14/19,Drought-sensitive understory,1.204834103,0.783401113,-0.435495627,-0.777249757
12/14/19,Drought-tolerant canopy,7.461414227,3.364016544,-0.511385836,-0.947471655
12/14/19,Drought-tolerant understory,3.362692196,1.612884644,-0.461904762,-0.725522573
12/15/19,Drought-sensitive canopy,51.18176723,26.28080322,-0.592058864,-1.242890783
12/15/19,Drought-sensitive understory,1.293231307,0.640545616,-0.463046647,-0.743780369
12/15/19,Drought-tolerant canopy,7.615534515,3.253418739,-0.50970696,-0.920918367
12/15/19,Drought-tolerant understory,3.470497446,1.520719807,-0.451785714,-0.699958256
12/16/19,Drought-sensitive canopy,52.66352637,25.52505155,-0.563635985,-1.19364581
12/16/19,Drought-sensitive understory,1.379120458,0.589854956,-0.501749271,-0.696763848
12/16/19,Drought-tolerant canopy,7.769968194,3.322542367,-0.510347985,-0.883673469
12/16/19,Drought-tolerant understory,3.576646316,1.635925853,-0.444642857,-0.669140383
12/17/19,Drought-sensitive canopy,54.12085213,23.02738448,-0.531359156,-1.13949615
12/17/19,Drought-sensitive understory,1.462342313,0.571421988,-0.545699708,-0.643372206
12/17/19,Drought-tolerant canopy,7.924063812,3.258026981,-0.513308913,-0.835736961
12/17/19,Drought-tolerant understory,3.680824704,1.72809069,-0.44047619,-0.633068955
12/18/19,Drought-sensitive canopy,55.55274832,21.61726247,-0.499564071,-1.080441803
12/18/19,Drought-sensitive understory,1.542737627,0.552989021,-0.588994169,-0.590777454
12/18/19,Drought-tolerant canopy,8.077169919,2.755728621,-0.518589744,-0.777108844
12/18/19,Drought-tolerant understory,3.78271851,1.774173109,-0.439285714,-0.59174397
12/19/19,Drought-sensitive canopy,56.95821876,24.34994989,-0.472586422,-1.016482769
12/19/19,Drought-sensitive understory,1.620147156,0.354834622,-0.625728863,-0.546151603
12/19/19,Drought-tolerant canopy,8.228635061,2.981532471,-0.526190476,-0.707789116
12/19/19,Drought-tolerant understory,3.88201363,1.37786431,-0.441071429,-0.54516543
12/20/19,Drought-sensitive canopy,58.33626727,27.55728621,NA,NA
12/20/19,Drought-sensitive understory,1.694411657,0.870957708,NA,NA
12/20/19,Drought-tolerant canopy,8.37780779,2.589831914,NA,NA
12/20/19,Drought-tolerant understory,3.978395965,2.055275861,NA,NA
12/21/19,Drought-sensitive canopy,59.68589766,32.44202256,NA,NA
12/21/19,Drought-sensitive understory,1.765371886,0.97694727,NA,NA
12/21/19,Drought-tolerant canopy,8.524036652,3.907789081,NA,NA
12/21/19,Drought-tolerant understory,4.071551413,2.032234652,NA,NA
12/22/19,Drought-sensitive canopy,61.00611374,25.54348452,NA,NA
12/22/19,Drought-sensitive understory,1.832868598,0.815658806,NA,NA
12/22/19,Drought-tolerant canopy,8.666670198,3.640511054,NA,NA
12/22/19,Drought-tolerant understory,4.161165872,1.77878135,NA,NA
12/23/19,Drought-sensitive canopy,62.29591933,15.58968215,NA,NA
12/23/19,Drought-sensitive understory,1.896742551,0.580638472,NA,NA
12/23/19,Drought-tolerant canopy,8.805056975,3.082913791,NA,NA
12/23/19,Drought-tolerant understory,4.24692524,1.15206046,NA,NA
